step,train_accuracy,test_accuracy,train_cross_entropy_loss,test_cross_entropy_loss,step_execution_time
0,0.4,,,,
0,,,2.58749e+07,,
0,,0.7,,,
0,,,,1.50868e+07,
0,,,,,276.82793951034546
1,,,,,1.0834205150604248
2,,,,,1.0891246795654297
3,,,,,1.0812489986419678
4,,,,,1.0788989067077637
5,,,,,1.7903270721435547
6,,,,,1.7278962135314941
7,,,,,1.91448974609375
8,,,,,1.876626968383789
9,,,,,1.7103683948516846
10,0.0,,,,
10,,,1.60944,,
10,,,,,2.26519775390625
11,,,,,1.782712697982788
12,,,,,1.7732715606689453
13,,,,,1.8701772689819336
14,,,,,1.9059727191925049
15,,,,,1.8765137195587158
16,,,,,1.8360586166381836
17,,,,,1.7735638618469238
18,,,,,1.9342317581176758
19,,,,,1.8851056098937988
20,0.0,,,,
20,,,1.60944,,
20,,,,,2.632328748703003
21,,,,,1.6175763607025146
22,,,,,1.8440594673156738
23,,,,,1.9599637985229492
24,,,,,1.696075439453125
25,,,,,1.7315874099731445
26,,,,,1.9445922374725342
27,,,,,1.71710205078125
28,,,,,1.9181098937988281
29,,,,,1.8577523231506348
30,0.0,,,,
30,,,1.60944,,
30,,,,,2.215365409851074
31,,,,,1.3010883331298828
32,,,,,1.2081055641174316
33,,,,,1.1955082416534424
34,,,,,1.209911584854126
35,,,,,1.2224369049072266
36,,,,,1.204700231552124
37,,,,,1.2175724506378174
38,,,,,1.2098586559295654
39,,,,,1.215632438659668
40,0.0,,,,
40,,,1.60944,,
40,,,,,1.5929913520812988
41,,,,,1.189777135848999
42,,,,,1.2050182819366455
43,,,,,1.2563135623931885
44,,,,,1.2506494522094727
45,,,,,1.253633737564087
46,,,,,1.264479637145996
47,,,,,1.240124225616455
48,,,,,1.2538201808929443
49,,,,,1.2133264541625977
50,0.0,,,,
50,,,1.60944,,
50,,,,,1.6176376342773438
51,,,,,1.201117992401123
52,,,,,1.1987521648406982
53,,,,,1.1780517101287842
54,,,,,1.2090625762939453
55,,,,,1.2071921825408936
56,,,,,1.2176427841186523
57,,,,,1.2303719520568848
58,,,,,1.1938369274139404
59,,,,,1.2185478210449219
60,0.0,,,,
60,,,1.60944,,
60,,,,,1.5818681716918945
61,,,,,1.1822474002838135
62,,,,,1.2015013694763184
63,,,,,1.1988658905029297
64,,,,,1.1986050605773926
65,,,,,1.2346038818359375
66,,,,,1.210843563079834
67,,,,,1.1986920833587646
68,,,,,1.1991915702819824
69,,,,,1.2034862041473389
70,0.0,,,,
70,,,1.60944,,
70,,,,,1.5958256721496582
71,,,,,1.178816556930542
72,,,,,1.2013218402862549
73,,,,,1.2005016803741455
74,,,,,1.2053477764129639
75,,,,,1.1958353519439697
76,,,,,1.2011306285858154
77,,,,,1.1863245964050293
78,,,,,1.2045173645019531
79,,,,,1.1966278553009033
80,0.0,,,,
80,,,1.60944,,
80,,,,,1.58591628074646
81,,,,,1.1996872425079346
82,,,,,1.218665361404419
83,,,,,1.2066822052001953
84,,,,,1.2971127033233643
85,,,,,1.2127692699432373
86,,,,,1.2040138244628906
87,,,,,1.1945223808288574
88,,,,,1.2462806701660156
89,,,,,1.2272374629974365
90,0.0,,,,
90,,,1.60944,,
90,,,,,1.5282642841339111
91,,,,,1.195925235748291
92,,,,,1.2144644260406494
93,,,,,1.2043144702911377
94,,,,,1.1907331943511963
95,,,,,1.1922426223754883
96,,,,,1.1879425048828125
97,,,,,1.1868946552276611
98,,,,,1.2202301025390625
99,,,,,1.2188541889190674
100,0.0,,,,
100,,,1.60944,,
100,,0.1,,,
100,,,,1.60944,
100,,,,,1.9896557331085205
101,,,,,1.6697869300842285
102,,,,,1.1998939514160156
103,,,,,1.199232578277588
104,,,,,1.2308409214019775
105,,,,,1.1968636512756348
106,,,,,1.1953279972076416
107,,,,,1.200714349746704
108,,,,,1.2100884914398193
109,,,,,1.1983246803283691
110,0.0,,,,
110,,,1.60944,,
110,,,,,1.5873737335205078
111,,,,,1.195457935333252
112,,,,,1.2016191482543945
113,,,,,1.2020385265350342
114,,,,,1.1978466510772705
115,,,,,1.2003509998321533
116,,,,,1.207303524017334
117,,,,,1.2230839729309082
118,,,,,1.2222440242767334
119,,,,,1.2176611423492432
120,0.0,,,,
120,,,1.60944,,
120,,,,,1.5764737129211426
121,,,,,1.1595098972320557
122,,,,,1.1879346370697021
123,,,,,1.1899707317352295
124,,,,,1.1928808689117432
125,,,,,1.1779139041900635
126,,,,,1.1885743141174316
127,,,,,1.1940550804138184
128,,,,,1.2010676860809326
129,,,,,1.2171976566314697
130,0.0,,,,
130,,,1.60944,,
130,,,,,1.589503526687622
131,,,,,1.1944975852966309
132,,,,,1.2069945335388184
133,,,,,1.1970410346984863
134,,,,,1.1986756324768066
135,,,,,1.2083351612091064
136,,,,,1.2006778717041016
137,,,,,1.2015514373779297
138,,,,,1.2298743724822998
139,,,,,1.2296171188354492
140,0.0,,,,
140,,,1.60944,,
140,,,,,1.6018483638763428
141,,,,,1.2047202587127686
142,,,,,1.215027093887329
143,,,,,1.2250230312347412
144,,,,,1.2363760471343994
145,,,,,1.2225196361541748
146,,,,,1.2212779521942139
147,,,,,1.193443775177002
148,,,,,1.2099528312683105
149,,,,,1.226853847503662
150,0.0,,,,
150,,,1.60944,,
150,,,,,1.5913028717041016
151,,,,,1.1898589134216309
152,,,,,1.1989285945892334
153,,,,,1.2002439498901367
154,,,,,1.2053751945495605
155,,,,,1.2099249362945557
156,,,,,1.204479694366455
157,,,,,1.210400104522705
