step,train_accuracy,test_accuracy,train_cross_entropy_loss,test_cross_entropy_loss,step_execution_time
0,0.0,,,,
0,,,35905.4,,
0,,0.0,,,
0,,,,30152.8,
0,,,,,15.76027798652649
1,,,,,0.25376200675964355
2,,,,,0.2605118751525879
3,,,,,0.2542243003845215
4,,,,,0.255354642868042
5,,,,,0.970954418182373
6,,,,,0.877983808517456
7,,,,,0.6283304691314697
8,,,,,0.6890172958374023
9,,,,,1.4534275531768799
10,0.6,,,,
10,,,7040.81,,
10,,,,,0.9077913761138916
11,,,,,1.0821456909179688
12,,,,,1.094050645828247
13,,,,,0.9250304698944092
14,,,,,1.2969870567321777
15,,,,,0.902611255645752
16,,,,,0.7360105514526367
17,,,,,0.7327089309692383
18,,,,,0.9325485229492188
19,,,,,0.6818125247955322
20,0.2,,,,
20,,,1826.72,,
20,,,,,0.957211971282959
21,,,,,0.691068172454834
22,,,,,1.040043830871582
23,,,,,1.091257095336914
24,,,,,1.3883209228515625
25,,,,,0.9341585636138916
26,,,,,1.3112497329711914
27,,,,,0.7611565589904785
28,,,,,0.873370885848999
29,,,,,1.5317144393920898
30,0.6,,,,
30,,,1332.31,,
30,,,,,0.8426928520202637
31,,,,,0.3126344680786133
32,,,,,0.31957483291625977
33,,,,,0.3727395534515381
34,,,,,0.322174072265625
35,,,,,0.32938623428344727
36,,,,,0.3169705867767334
37,,,,,0.32442808151245117
38,,,,,0.31512999534606934
39,,,,,0.3192577362060547
40,0.0,,,,
40,,,749.327,,
40,,,,,0.39017701148986816
41,,,,,0.3122122287750244
42,,,,,0.3199915885925293
43,,,,,0.3207688331604004
44,,,,,0.3625023365020752
45,,,,,0.3381800651550293
46,,,,,0.31714510917663574
47,,,,,0.312969446182251
48,,,,,0.33149123191833496
49,,,,,0.33292269706726074
50,0.6,,,,
50,,,48.2241,,
50,,,,,0.40309596061706543
51,,,,,0.3115992546081543
52,,,,,0.3301889896392822
53,,,,,0.3249337673187256
54,,,,,0.33072853088378906
55,,,,,0.3200874328613281
56,,,,,0.3134479522705078
57,,,,,0.323606014251709
58,,,,,0.3253023624420166
59,,,,,0.31774425506591797
60,0.1,,,,
60,,,295.212,,
60,,,,,0.3950352668762207
61,,,,,0.31618165969848633
62,,,,,0.3257737159729004
63,,,,,0.3216092586517334
64,,,,,0.31739282608032227
65,,,,,0.3443410396575928
66,,,,,0.31650400161743164
67,,,,,0.32196617126464844
68,,,,,0.3195948600769043
69,,,,,0.321657657623291
70,0.5,,,,
70,,,18.9912,,
70,,,,,0.4005928039550781
71,,,,,0.3097257614135742
72,,,,,0.314647912979126
73,,,,,0.3200039863586426
74,,,,,0.3164703845977783
75,,,,,0.3481302261352539
76,,,,,0.3813962936401367
77,,,,,0.32295727729797363
78,,,,,0.32533812522888184
79,,,,,0.32184362411499023
80,0.3,,,,
80,,,141.936,,
80,,,,,0.40583086013793945
81,,,,,0.31513047218322754
82,,,,,0.32558512687683105
83,,,,,0.32048511505126953
84,,,,,0.32210350036621094
85,,,,,0.3275425434112549
86,,,,,0.31719183921813965
87,,,,,0.36220312118530273
88,,,,,0.32347869873046875
89,,,,,0.33029937744140625
90,0.5,,,,
90,,,46.1813,,
90,,,,,0.4062342643737793
91,,,,,0.3170814514160156
92,,,,,0.31967926025390625
93,,,,,0.3481616973876953
94,,,,,0.32256388664245605
95,,,,,0.3311305046081543
96,,,,,0.32282590866088867
97,,,,,0.32474327087402344
98,,,,,0.3160409927368164
99,,,,,0.3287229537963867
100,0.6,,,,
100,,,11.7386,,
100,,0.6,,,
100,,,,198.736,
100,,,,,0.47254300117492676
101,,,,,0.4710826873779297
102,,,,,0.3794217109680176
103,,,,,0.3183763027191162
104,,,,,0.34087610244750977
105,,,,,0.31664085388183594
106,,,,,0.3162081241607666
107,,,,,0.32065296173095703
108,,,,,0.33492493629455566
109,,,,,0.32448649406433105
110,0.1,,,,
110,,,196.258,,
110,,,,,0.4024953842163086
111,,,,,0.3056056499481201
112,,,,,0.3219285011291504
113,,,,,0.3148026466369629
114,,,,,0.3158092498779297
115,,,,,0.32114219665527344
116,,,,,0.3142280578613281
117,,,,,0.32036566734313965
118,,,,,0.3181428909301758
119,,,,,0.3609788417816162
120,0.5,,,,
120,,,164.919,,
120,,,,,0.39852285385131836
121,,,,,0.3155035972595215
122,,,,,0.31964993476867676
123,,,,,0.3133692741394043
124,,,,,0.327362060546875
125,,,,,0.34126877784729004
126,,,,,0.314345121383667
127,,,,,0.3169264793395996
128,,,,,0.31791257858276367
129,,,,,0.3332209587097168
130,0.3,,,,
130,,,78.0446,,
130,,,,,0.44037580490112305
131,,,,,0.3238682746887207
132,,,,,0.321948766708374
133,,,,,0.32272839546203613
134,,,,,0.32523393630981445
135,,,,,0.31360387802124023
136,,,,,0.31658220291137695
137,,,,,0.31183528900146484
138,,,,,0.313765287399292
139,,,,,0.3150520324707031
140,0.4,,,,
140,,,154.841,,
140,,,,,0.3921530246734619
141,,,,,0.3013944625854492
142,,,,,0.32002735137939453
143,,,,,0.3193204402923584
144,,,,,0.32010769844055176
145,,,,,0.3118739128112793
146,,,,,0.3255343437194824
147,,,,,0.31949353218078613
148,,,,,0.32317686080932617
149,,,,,0.3228113651275635
150,0.7,,,,
150,,,23.5072,,
150,,,,,0.40750598907470703
